PC1,PC2,Segment
1.828329308693631,-2.934576001869869,Delivery-Disappointed
1.084812999747394,-2.3241341753400677,Delivery-Disappointed
1.8393596389532085,-0.9769938973267167,Engaged-Premium
0.9975836468198493,0.8990878236152173,Silent-Premium
-0.501958858885617,0.1831236954729059,Silent-Premium
1.3413944131237938,1.0422158466707658,Silent-Premium
-0.8483365687119099,0.6090155180395247,Budget-Regular
-2.2157745284861,0.16762449754668102,Budget-Regular
1.189326857793764,-1.0548909203304646,Bulk-Buyer
0.25284884120551443,-0.36928247714843465,Engaged-Premium
-1.2745042511067566,-0.5634644639068606,Engaged-Premium
0.3275574182804367,0.7765193402962021,Silent-Premium
1.2571347889341635,0.4488074649847097,Engaged-Premium
-0.3320381839907104,0.5907773257276671,Silent-Premium
-1.2592122018704968,0.5930967803371059,Budget-Regular
-0.439459962933408,-0.7452217323261555,Delivery-Disappointed
0.7231139938569375,0.9563105371172711,Silent-Premium
0.6710909455249318,1.2201475058826052,Silent-Premium
2.9386503405841506,1.607210133008855,Silent-Premium
0.6741039525293832,-0.6030165576336367,Delivery-Disappointed
-2.8217268200013046,-0.9169163188922478,Budget-Regular
1.1183694709605403,0.39355710399066157,Engaged-Premium
0.7086952803816335,1.3721600065286246,Silent-Premium
1.9133103288081854,0.7881944397494426,Engaged-Premium
-0.6431352425344028,-0.6530521164514405,Budget-Regular
0.00669403368675347,0.7705505034980785,Silent-Premium
-0.036830526619529465,1.0673381133710673,Bulk-Buyer
1.339527177867661,0.035558412317402824,Engaged-Premium
-1.5946445017085702,0.021421290192079084,Budget-Regular
0.2044992827936558,1.6842711929426248,Silent-Premium
-0.7981995981763818,0.634501713198688,Silent-Premium
-0.35348233736191853,0.2091518472150772,Silent-Premium
0.7523423455330005,0.16274607548288103,Engaged-Premium
1.1501948422524995,1.0488290057191432,Silent-Premium
-0.09571979782450403,0.7006407945388461,Silent-Premium
-0.38970555627418874,-0.419938487510378,Silent-Premium
0.579409205062236,0.9520736039599421,Silent-Premium
2.45777367718171,0.7023953998206163,Engaged-Premium
-0.9092397272052765,-0.25250765419523724,Bulk-Buyer
2.4938537370094775,0.2783328707476062,Silent-Premium
2.4951339137037034,3.07960996232993,Silent-Premium
0.8371483364973017,0.6101528698058221,Engaged-Premium
2.0479351185615933,-0.21026962575214872,Engaged-Premium
1.9713053402150231,-0.6715755373553248,Delivery-Disappointed
-1.2272881756789913,-0.08717561373040103,Budget-Regular
0.3720120113607249,-2.683231357436571,Delivery-Disappointed
0.012729819984715335,-0.011808796593521874,Silent-Premium
-1.1327096910814256,0.9710589342645682,Budget-Regular
0.7762376387877872,1.6530405332320295,Silent-Premium
-0.4889382401611212,-2.2045706470308053,Bulk-Buyer
0.07384829825314564,0.21928414302903937,Silent-Premium
-0.2806287111896746,1.3811645717425005,Silent-Premium
1.8550433278764031,0.07722101774078524,Engaged-Premium
