Segment,monetary,avg_review_score,avg_review_len,avg_delay,avg_freight_ratio,avg_item_count
Silent-Premium,0.6790975046190669,0.9941856728083306,0.0,0.07783695547934333,0.0,0.0
Delivery-Disappointed,0.531272733151899,0.0,1.0,1.0,0.2847333364662651,0.037247162569533976
Budget-Regular,0.0,0.9746148287596735,0.13074420661542102,0.07217735524060898,1.0,0.007099569775550041
Bulk-Buyer,1.0,0.7395707747887824,0.5003530420619654,0.0,0.40539974411869517,1.0
Engaged-Premium,0.6260109936348459,1.0,0.815140755779049,0.005335524959890869,0.09505199567507994,0.0011088925886619805
