Segment,n_customers,repeat_rate_all,n_obs180,repeat_rate_180d
Engaged-Premium,19943,4.527904527904528,12262,5.888109606915674
Silent-Premium,33428,3.1440708388177576,19783,4.291563463579841
Bulk-Buyer,8329,3.5778604874534756,4970,4.527162977867203
Budget-Regular,21598,1.4399481433466061,12691,1.8517059333385864
Delivery-Disappointed,10052,2.3676880222841223,6199,3.0650104855621874
