target_date,h,forecast,lower_bound,upper_bound,actual
2018-08-22,1,29081.655619607067,16240.753438150366,41922.55780106376,
2018-08-23,2,27203.245108391573,15191.748444510564,39214.74177227258,
2018-08-24,3,23493.724783964735,13120.153699326733,33867.295868602734,
2018-08-25,4,18718.035460643667,10453.153105833268,26982.917815454064,
2018-08-26,5,20498.28277430368,11447.338514609952,29549.227033997406,
2018-08-27,6,29537.602609397476,16495.378647213787,42579.82657158116,
2018-08-28,7,29244.132582550934,16331.489272762608,42156.775892339254,
