seller_share_pct,cum_revenue_share_pct
0.03367003367003367,1.7168094576840653
0.5050505050505051,17.655628738731483
0.9764309764309763,25.513173635358932
1.4478114478114479,30.857268866636772
1.9191919191919191,35.3800819020803
2.3905723905723906,39.201096856640554
2.861952861952862,42.50576684460155
3.3333333333333335,45.330262956109145
3.8047138047138045,47.832904239624035
4.276094276094276,50.07865269815479
4.747474747474747,52.02453770951679
5.218855218855219,53.8034019353651
5.69023569023569,55.450310464099154
6.161616161616162,56.98821886380016
6.632996632996633,58.42825136553304
7.104377104377105,59.81654245382637
7.575757575757576,61.14504591492168
8.047138047138047,62.42549468548842
8.518518518518519,63.66280031181732
8.98989898989899,64.8342465330504
9.46127946127946,65.93200186147436
9.932659932659933,66.96662644684214
10.404040404040405,67.9629863063982
10.875420875420875,68.92941544277087
11.346801346801346,69.86214590170981
11.818181818181818,70.74319575726207
12.289562289562289,71.59729049796766
12.760942760942761,72.42094368079144
13.232323232323232,73.22275644904211
13.703703703703704,74.00509298261368
14.175084175084173,74.76653158179826
14.646464646464647,75.50499078806745
15.11784511784512,76.21844919660177
15.589225589225588,76.91276196839398
16.060606060606062,77.58692876294643
16.531986531986533,78.23566803051193
17.003367003367003,78.8583661492503
17.474747474747474,79.45127785522943
17.946127946127945,80.01824227466464
18.41750841750842,80.56694053409356
18.88888888888889,81.09741945120625
19.36026936026936,81.61181554637007
19.83164983164983,82.11244262697251
20.303030303030305,82.59807178537656
20.77441077441077,83.07057890582722
21.245791245791246,83.52622825432604
21.71717171717172,83.96737296814548
22.188552188552187,84.3972930084245
22.65993265993266,84.81523074543638
23.13131313131313,85.2240668663531
23.602693602693602,85.62301908463542
24.074074074074073,86.01501626656442
24.545454545454547,86.39994594379597
25.016835016835014,86.77540498472305
25.488215488215488,87.13982677413856
25.95959595959596,87.4891135918334
26.430976430976433,87.82512453121701
26.9023569023569,88.149456990695
27.373737373737374,88.46362592718326
27.845117845117844,88.76742629583904
28.31649831649832,89.06054913016209
28.78787878787879,89.3478097694937
29.259259259259256,89.62828887777228
29.73063973063973,89.90083613149645
