feature,importance
ma_7,0.23024242022431174
lag_sellers_1,0.21684653213239463
is_black_friday,0.20884675636382735
lag_customers_1,0.1324830792239193
dayofweek,0.04647736903551341
lag_7,0.04347081960519181
day_index,0.04129159977703787
lag_1,0.04009457152145339
ma_30,0.016121496744200808
day,0.013937442573111228
month,0.005533774241084564
is_weekend,0.0037009211833017664
is_holiday,0.0009532173746521961
