as_of_date,days_elapsed,days_remaining,mtd_actual,remaining_forecast,projected_close,lower_bound,upper_bound,target,vs_target_pct,region
2018-08-21,21,10,386036.8,189535.93608135395,575572.736081354,446569.81911349186,704575.653049216,371820.82,154.79841502187907,São Paulo
2018-08-21,21,10,105023.59,51963.09880901549,156986.6888090155,130402.22307992245,183571.1545381085,108762.20000000001,144.33938336022578,Minas Gerais
