category,days_purchased,days_approved,days_shipped,days_delivered
housewares,0.0,0.40076001760865826,3.068675399466307,11.113939910586202
toys,0.0,0.36751143048256324,2.818989680668355,11.745907029041849
health_beauty,0.0,0.4386475889734752,3.06884374880666,12.098418455313915
sports_leisure,0.0,0.398477910560932,2.7678091119085244,12.256904237164564
auto,0.0,0.43334030282859515,2.9210242950035217,12.337667435016748
watches_gifts,0.0,0.4307474019743838,2.887161744402425,12.822803445337229
telephony,0.0,0.5150916091564279,3.5119455480710626,12.965248826963473
bed_bath_table,0.0,0.3902001044247506,3.168165781392605,13.006208602996027
furniture_decor,0.0,0.47441680390865176,3.749064091712165,13.148822521760081
computers_accessories,0.0,0.4721197109778444,3.584708861852301,13.184760814319926
