Segment,s1_purchased,s2_approved,s3_shipped,s4_delivered
Engaged-Premium,100.0,99.92373689227836,99.84747378455671,99.79980934223069
Silent-Premium,100.0,99.95096200998067,99.867308968183,99.81538639051547
Bulk-Buyer,100.0,99.93117687543015,99.81647166781372,99.7591190640055
Budget-Regular,100.0,99.95902199153122,99.91804398306242,99.85885352638529
Delivery-Disappointed,100.0,99.81637189523533,99.71972552430655,99.54576205663477
