volume_bin,purchased,approved,shipped,delivered
1 (smallest),100.0,99.99596318424027,99.1563055062167,97.98562893589536
2,100.0,99.98371202866683,98.98607378451014,97.78483589868881
3,100.0,99.97164614387557,99.01571613739468,97.85320803629294
4 (largest),100.0,99.99188048067555,98.74959402403378,97.49512828840533
