customer_state,days_purchased,days_approved,days_shipped,days_delivered
SP,0.0,0.41288278138219336,3.164944394417975,8.76135656379617
PR,0.0,0.457648179392175,3.2164944433230165,11.991582227413277
MG,0.0,0.42245205510291256,3.2411688518907296,12.010258342914689
DF,0.0,0.43284936697343107,3.189380419519045,12.96756810897436
SC,0.0,0.47125989741118146,3.327394937046356,14.959297453377397
RS,0.0,0.49399619515042903,3.233374530757532,15.300276192406853
RJ,0.0,0.3915590021618408,3.314927439388353,15.310052815555375
GO,0.0,0.5303536229490143,3.1766785142357037,15.606338535456764
MS,0.0,0.44426176832426834,3.1676837055450338,15.618319018465684
ES,0.0,0.4389956313711545,3.377672277851337,15.789307110368513
TO,0.0,0.5379912367724868,3.437338545830003,17.65806260982698
MT,0.0,0.5602162195271346,3.1943830928597854,18.05575601172561
PE,0.0,0.4466869983633755,3.2648747456403613,18.448322994408407
RN,0.0,0.457691318251241,3.59354157041657,19.27815620604782
BA,0.0,0.48811677685678573,3.296495236783221,19.335465824489262
RO,0.0,0.555547977292769,2.8486643613778386,19.37203651310776
PI,0.0,0.43097997732043786,3.2073420999770432,19.45709826291628
PB,0.0,0.5813907926618207,3.4833348239337822,20.426767609606706
CE,0.0,0.4686942584946058,3.364734542727477,21.26657863492891
SE,0.0,0.439314178074923,3.6321973581503015,21.519788280818133
MA,0.0,0.5788511723016583,3.6118147833207357,21.572976474120562
PA,0.0,0.5076172053612255,3.490339446265624,23.77291691136168
AL,0.0,0.5037396619920892,3.4383284300310164,24.543855361974067
AM,0.0,0.3989076576576577,2.900680508314437,26.42599090038314
